item_name
mpvecost
simple-browser-gis-collector
frontiers-palaeo-additive-modelling
analogue
coenocliner
vegan
vegan3d
ggvegan
grainsizeR
cherish-installer
xylib
PyXRF
xraylib
scikit-beam
QField
Map Files
findPeaks
mudata
measure3d
photogrammetry-data-collection
GigaMesh
PaleoView
strativerse
GeoChronR
distantia
eager
survey2gis
Tachy2GIS
paleomix
epiPALEOMIX
EAGER-GUI
EAGER-CLI
atlas
mapDamage
DamageProfiler
metabit
MALT
SPARSE
HOPS
adrsm
tapas
snpAD
AntCaller
ARIADNA
AuthentiCT
Sex.DetERRmine
MultiVCFAnalyzer
PMDtools
maximum-likelihood-relatedness-estimation
READ
pileupcaller
angsd
hapROH
leeHom
anfo
Consensify
mapping-iterative-assembler
DamMet
MADAM
TOPAS
cuperdec
input
tkgwv2
Image enhancement process tool
List of Resources for getting started with (teaching) digital methods
grups
NgsRelate
deeptime
sdr33_triangulation
Plum
PyPlum
juliandate
villager
RPGPRpy
GPRsuite
SediNet
segmenteverygrain
pbot-client
klrfome
Orientations
osa_orientations
ringdater_pkg
measuRing
cltk
